id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	license
18631940	Private room in penthouse in the heart of Chueca	28993412	Lorcán	Centro	Justicia	40.42269	-3.69774	Private room	53	1	42	2020-02-28	0.69	1	0	0	
18634925	Private little Appartement in the heart of Madrid	120627887	Natalia	Salamanca	Guindalera	40.43444	-3.66308	Entire home/apt	36	6	60	2022-02-22	1.04	1	120	7	
19016933	Cozy studio in Chueca, Madrid	130944189	Clara	Centro	Justicia	40.42001	-3.69882	Entire home/apt	64	2	3	2017-07-03	0.05	1	0	0	
19017959	medium size room in the heart of madrid	42666741	Ziv	Centro	Cortes	40.41457	-3.70144	Private room	40	2	1	2017-06-25	0.02	1	0	0	
19025557	Double room in Chueca, with private bathroom F 14	107335103	Daniel	Centro	Justicia	40.4229	-3.69972	Private room	36	1	202	2021-07-18	3.34	86	0	6	
19029616	Fuencarral street room, private bathroom F 21	107335103	Daniel	Centro	Universidad	40.42242	-3.70119	Private room	36	1	205	2021-07-12	3.38	86	0	3	
18889343	GQ22 2º. Apartamento singular, con WIFI.	116196433	Apartamentos Playtime	Ciudad Lineal	Concepción	40.44497	-3.64198	Entire home/apt	70	7	10	2018-11-08	0.17	11	0	0	
19032176	San Vicente	84336811	Hugo Nelson	Barajas	Timón	40.47942	-3.59743	Shared room	50	1	0			1	0	0	
19033151	Precioso ático, con  gran terraza y piscina común.	21694316	Palos Y Adobe	San Blas - Canillejas	Simancas	40.4368	-3.63137	Entire home/apt	138	2	10	2022-02-28	0.16	3	158	5	
18635096	Apartamento simpático en Montecarmelo.	108816400	Antonio	Fuencarral - El Pardo	El Goloso	40.50444	-3.69984	Entire home/apt	70	7	30	2022-04-04	0.50	1	189	4	
18644138	MAGNIFICO PISO VACACIONAL	57404543	Buskpiso	Carabanchel	Comillas	40.39477	-3.70814	Entire home/apt	60	2	11	2017-09-26	0.18	1	0	0	
18893711	Gran Vía 6 PAX, 2 Room apt. Historical building	119095036	Fernando	Centro	Palacio	40.42194	-3.70897	Entire home/apt	102	2	180	2020-01-12	2.94	3	0	0	
18894013	Maria's Cozy Place at Heart of Madrid	131662653	Maria	Centro	Embajadores	40.40939	-3.70525	Entire home/apt	160	2	0			1	0	0	VT3702
18644148	Apartamento moderno en el Centro de Madrid	105083695	Maria Jesus	Centro	Universidad	40.42409	-3.70876	Entire home/apt	64	2	84	2022-06-05	1.36	1	255	2	
18644774	Bright Apartment in center of Madrid	93802905	Oscar	Arganzuela	Palos de Moguer	40.40258	-3.69649	Entire home/apt	200	3	0			1	0	0	
19033719	Madrid Centro, Casco Historico	21608505	Regina	Centro	Palacio	40.41307	-3.70918	Entire home/apt	111	2	291	2022-06-05	4.80	1	57	71	VT-6934
19033953	Cozy comics apartment in Madrid downtown	5387587	Leonardo	Centro	Embajadores	40.40996	-3.70178	Entire home/apt	283	2	107	2022-05-22	1.75	2	23	35	
